Section,d[mm],t[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]",Wt[cm3],"Wpl,y[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2],Source
Celsius 355 CHS 21.3x2.6,21.3,2.6,1.53,0.68,1.36,6.7,9.4,0.22,0.64,0.81,1.36,0,1.36,1.28,0.92,1.43,0.97,35.87,13.19,0.21,1.2,0.07,153,437.91,2.75,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 21.3x2.9,21.3,2.9,1.68,0.73,1.45,6.6,9.3,0.24,0.68,0.9,1.45,0,1.45,1.37,0.99,1.45,1.07,39.36,14.48,0.23,1.3,0.07,168,398.81,2.66,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 21.3x3.2,21.3,3.2,1.82,0.77,1.54,6.5,9.2,0.25,0.72,0.99,1.54,0,1.54,1.44,1.06,1.47,1.16,42.72,15.72,0.25,1.4,0.07,182,368.13,2.57,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x2.6,26.9,2.6,1.98,1.48,2.96,8.6,12.2,0.37,1.1,1.03,2.96,0.01,2.95,2.2,1.54,1.4,1.26,46.61,17.14,0.36,1.6,0.09,198,429.29,4.64,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x2.9,26.9,2.9,2.19,1.6,3.2,8.6,12.1,0.41,1.19,1.15,3.19,0.01,3.18,2.38,1.68,1.41,1.39,51.35,18.89,0.39,1.7,0.09,219,388.13,4.52,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x3.2,26.9,3.2,2.38,1.7,3.4,8.5,12,0.44,1.27,1.26,3.41,0.01,3.4,2.53,1.81,1.43,1.52,55.95,20.58,0.42,1.9,0.09,238,357.14,4.41,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x3.6,26.9,3.6,2.64,1.83,3.66,8.3,11.8,0.47,1.36,1.41,3.66,0.01,3.65,2.72,1.97,1.45,1.68,61.87,22.76,0.46,2.1,0.09,264,321.97,4.26,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x2.6,33.7,2.6,2.54,3.09,6.18,11,15.6,0.62,1.84,1.3,6.19,0.02,6.17,3.67,2.52,1.37,1.62,59.67,21.94,0.59,2,0.11,254,417.32,7.6,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x2.9,33.7,2.9,2.81,3.36,6.72,10.9,15.4,0.67,1.99,1.45,6.71,0.02,6.69,3.98,2.76,1.39,1.79,65.91,24.24,0.65,2.2,0.11,281,377.22,7.45,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x3.2,33.7,3.2,3.07,3.6,7.2,10.8,15.3,0.73,2.14,1.59,7.21,0.02,7.19,4.28,2.99,1.4,1.95,72.01,26.48,0.7,2.4,0.11,307,345.28,7.31,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x3.6,33.7,3.6,3.4,3.91,7.82,10.7,15.1,0.79,2.32,1.78,7.82,0.02,7.8,4.64,3.28,1.41,2.17,79.94,29.4,0.77,2.7,0.11,340,311.77,7.12,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x4,33.7,4,3.73,4.19,8.38,10.6,15,0.85,2.49,1.98,8.38,0.03,8.35,4.97,3.55,1.43,2.38,87.64,32.24,0.83,2.9,0.11,373,284.18,6.93,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x4.5,33.7,4.5,4.13,4.5,9,10.4,14.7,0.92,2.67,2.21,9.01,0.03,8.98,5.35,3.87,1.45,2.63,96.92,35.66,0.91,3.2,0.11,413,256.66,6.7,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x2.6,42.4,2.6,3.25,6.46,12.92,14.1,19.9,1.01,3.05,1.66,12.9,0.04,12.86,6.1,4.12,1.35,2.07,76.39,28.08,0.97,2.6,0.13,325,409.23,12.44,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x2.9,42.4,2.9,3.6,7.06,14.12,14,19.8,1.11,3.33,1.84,14.1,0.05,14.05,6.66,4.53,1.36,2.29,84.55,31.08,1.06,2.8,0.13,360,369.44,12.25,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x3.2,42.4,3.2,3.94,7.62,15.24,13.9,19.7,1.2,3.59,2.03,15.2,0.05,15.15,7.19,4.93,1.37,2.51,92.57,34.04,1.16,3.1,0.13,394,337.56,12.07,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x3.6,42.4,3.6,4.39,8.33,16.66,13.8,19.5,1.32,3.93,2.27,16.7,0.05,16.65,7.86,5.44,1.38,2.79,103.07,37.9,1.28,3.4,0.13,439,302.96,11.82,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x4,42.4,4,4.83,8.99,17.98,13.6,19.2,1.44,4.24,2.51,18,0.06,17.94,8.48,5.92,1.4,3.07,113.33,41.68,1.39,3.8,0.13,483,275.36,11.58,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x4.5,42.4,4.5,5.36,9.76,19.52,13.5,19.1,1.57,4.6,2.81,19.5,0.06,19.44,9.2,6.49,1.41,3.41,125.82,46.28,1.52,4.2,0.13,536,248.13,11.28,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x2.6,48.3,2.6,3.73,9.78,19.56,16.2,22.9,1.34,4.05,1.9,19.6,0.06,19.54,8.1,5.44,1.34,2.38,87.73,32.24,1.28,2.9,0.15,373,407.51,16.4,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x2.9,48.3,2.9,4.14,10.7,21.4,16.1,22.8,1.47,4.43,2.11,21.4,0.07,21.33,8.86,5.99,1.35,2.63,97.19,35.73,1.41,3.2,0.15,414,367.15,16.19,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x3.2,48.3,3.2,4.53,11.6,23.2,16,22.6,1.6,4.8,2.32,23.2,0.07,23.13,9.59,6.52,1.36,2.89,106.52,39.16,1.53,3.6,0.15,453,335.54,15.98,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x3.6,48.3,3.6,5.06,12.7,25.4,15.9,22.5,1.76,5.26,2.59,25.4,0.08,25.32,10.5,7.21,1.37,3.22,118.76,43.67,1.69,4,0.15,506,300.4,15.69,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x4,48.3,4,5.57,13.8,27.6,15.7,22.2,1.92,5.7,2.89,27.5,0.09,27.41,11.4,7.87,1.38,3.54,130.76,48.08,1.85,4.4,0.15,557,272.89,15.41,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x4.5,48.3,4.5,6.19,15,30,15.6,22.1,2.1,6.21,3.21,30,0.1,29.9,12.4,8.66,1.4,3.94,145.43,53.48,2.03,4.9,0.15,619,245.56,15.07,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x5,48.3,5,6.8,16.2,32.4,15.4,21.8,2.28,6.69,3.58,32.3,0.1,32.2,13.4,9.42,1.41,4.33,159.73,58.75,2.21,5.3,0.15,680,223.53,14.73,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x5.6,48.3,5.6,7.51,17.4,34.8,15.2,21.5,2.47,7.21,3.96,34.8,0.11,34.69,14.4,10.3,1.43,4.78,176.4,64.89,2.41,5.9,0.15,751,202.4,14.32,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x6.3,48.3,6.3,8.31,18.7,37.4,15,21.2,2.68,7.76,4.42,37.5,0.12,37.38,15.5,11.2,1.44,5.29,195.18,71.8,2.63,6.5,0.15,831,182.91,13.85,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x2.6,60.3,2.6,4.71,19.7,39.4,20.4,28.8,2.14,6.52,2.4,39.3,0.11,39.19,13,8.66,1.33,3,110.8,40.71,2.04,3.7,0.19,471,401.27,26.15,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x2.9,60.3,2.9,5.23,21.6,43.2,20.3,28.7,2.36,7.16,2.65,43.2,0.14,43.06,14.3,9.56,1.34,3.33,122.92,45.17,2.25,4.1,0.19,523,361.38,25.88,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x3.2,60.3,3.2,5.74,23.5,47,20.2,28.6,2.57,7.78,2.93,46.9,0.15,46.75,15.6,10.4,1.34,3.65,134.91,49.58,2.45,4.5,0.19,574,329.27,25.61,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x3.6,60.3,3.6,6.41,25.9,51.8,20.1,28.4,2.85,8.58,3.28,51.7,0.17,51.53,17.2,11.6,1.35,4.08,150.68,55.39,2.72,5,0.19,641,294.85,25.25,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x4,60.3,4,7.07,28.2,56.4,20,28.3,3.11,9.34,3.63,56.3,0.18,56.12,18.7,12.7,1.36,4.5,166.22,61.11,2.98,5.5,0.19,707,267.33,24.89,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x4.5,60.3,4.5,7.89,30.9,61.8,19.8,28,3.43,10.2,4.05,61.8,0.2,61.6,20.5,14,1.37,5.02,185.31,68.14,3.3,6.2,0.19,789,239.54,24.45,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x5,60.3,5,8.69,33.5,67,19.6,27.7,3.74,11.1,4.49,67,0.21,66.79,22.2,15.3,1.38,5.53,204.03,75.03,3.6,6.8,0.19,869,217.49,24.02,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x5.6,60.3,5.6,9.62,36.4,72.8,19.4,27.4,4.09,12.1,5.01,72.7,0.23,72.47,24.1,16.8,1.39,6.13,226.01,83.12,3.95,7.6,0.19,962,196.47,23.5,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x6.3,60.3,6.3,10.7,39.5,79,19.2,27.2,4.46,13.1,5.6,79,0.25,78.75,26.2,18.5,1.41,6.8,250.98,92.32,4.33,8.4,0.19,1070,176.64,22.9,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x7.1,60.3,7.1,11.9,42.7,85.4,19,26.9,4.87,14.2,6.27,85.5,0.27,85.23,28.3,20.2,1.42,7.55,278.64,102.5,4.74,9.3,0.19,1190,158.82,22.23,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x8,60.3,8,13.1,46,92,18.7,26.4,5.28,15.3,7.04,92,0.29,91.71,30.5,22.1,1.44,8.37,308.62,113.54,5.17,10.3,0.19,1310,144.28,21.48,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x2.9,76.1,2.9,6.67,44.7,89.4,25.9,36.6,3.85,11.8,3.36,89.5,0.19,89.31,23.5,15.5,1.31,4.25,156.83,57.6,3.65,5.2,0.24,667,358.32,42.08,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x3.2,76.1,3.2,7.33,48.8,97.6,25.8,36.5,4.21,12.8,3.71,97.6,0.25,97.35,25.6,17,1.33,4.67,172.31,63.3,4,5.8,0.24,733,326.06,41.74,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x3.6,76.1,3.6,8.2,54,108,25.7,36.3,4.67,14.2,4.16,108,0.35,107.65,28.4,18.9,1.33,5.22,192.74,70.82,4.45,6.4,0.24,820,291.46,41.28,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x4,76.1,4,9.06,59.1,118.2,25.5,36.1,5.13,15.5,4.61,118,0.38,117.62,31,20.8,1.34,5.77,212.94,78.26,4.89,7.1,0.24,906,263.8,40.83,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x4.5,76.1,4.5,10.1,65.1,130.2,25.4,35.9,5.68,17.1,5.16,130,0.42,129.58,34.2,23.1,1.35,6.44,237.85,87.43,5.42,7.9,0.24,1010,236.63,40.26,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x5,76.1,5,11.2,70.9,141.8,25.2,35.6,6.21,18.6,5.71,142,0.45,141.55,37.3,25.3,1.36,7.11,262.4,96.47,5.94,8.8,0.24,1120,213.39,39.7,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x5.6,76.1,5.6,12.4,77.5,155,25,35.4,6.82,20.4,6.36,155,0.49,154.51,40.8,27.9,1.37,7.9,291.36,107.13,6.55,9.7,0.24,1240,192.74,39.04,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x6.3,76.1,6.3,13.8,84.8,169.6,24.8,35.1,7.5,22.3,7.13,170,0.54,169.46,44.6,30.8,1.38,8.79,324.49,119.33,7.22,10.8,0.24,1380,173.19,38.26,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x7.1,76.1,7.1,15.4,92.6,185.2,24.5,34.6,8.24,24.3,8,185,0.59,184.41,48.7,33.9,1.4,9.8,361.46,132.94,7.96,12.1,0.24,1540,155.2,37.39,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 76.1x8,76.1,8,17.1,101,202,24.2,34.2,9.01,26.4,9.04,201,0.64,200.36,52.9,37.3,1.41,10.9,401.93,147.83,8.75,13.4,0.24,1710,139.77,36.42,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x2.9,88.9,2.9,7.84,72.5,145,30.4,43,5.32,16.3,3.95,145,0.22,144.78,32.6,21.5,1.32,4.99,184.32,67.68,5.04,6.2,0.28,784,355.87,58.09,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x3.2,88.9,3.2,8.62,79.2,158.4,30.3,42.9,5.82,17.8,4.35,158,0.29,157.71,35.6,23.5,1.32,5.48,202.63,74.42,5.53,6.8,0.28,862,323.67,57.68,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x3.6,88.9,3.6,9.65,87.9,175.8,30.2,42.7,6.48,19.8,4.88,176,0.42,175.58,39.5,26.2,1.32,6.14,226.84,83.33,6.16,7.6,0.28,965,289.12,57.15,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x4,88.9,4,10.7,96.3,192.6,30,42.4,7.13,21.7,5.4,193,0.57,192.43,43.3,28.9,1.33,6.79,250.81,92.15,6.78,8.4,0.28,1070,260.75,56.61,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x4.5,88.9,4.5,11.9,107,214,29.9,42.3,7.91,24,6.11,213,0.68,212.32,47.9,32.1,1.34,7.6,280.44,103.06,7.54,9.3,0.28,1190,234.45,55.95,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x5,88.9,5,13.2,116,232,29.7,42,8.67,26.2,6.67,233,0.74,232.26,52.4,35.2,1.34,8.39,309.7,113.83,8.27,10.4,0.28,1320,211.36,55.29,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x5.6,88.9,5.6,14.7,128,256,29.5,41.7,9.55,28.7,7.52,255,0.82,254.18,57.5,38.9,1.36,9.33,344.33,126.58,9.14,11.5,0.28,1470,189.8,54.5,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x6.3,88.9,6.3,16.3,140,280,29.3,41.4,10.54,31.5,8.35,280,0.89,279.11,63.1,43.1,1.37,10.41,384.06,141.21,10.11,12.8,0.28,1630,171.17,53.59,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x7.1,88.9,7.1,18.2,154,308,29,41,11.62,34.6,9.43,308,0.98,307.02,69.2,47.6,1.38,11.62,428.58,157.6,11.18,14.3,0.28,1820,153.3,52.55,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 88.9x8,88.9,8,20.3,168,336,28.7,40.6,12.78,37.8,10.54,336,1.07,334.93,75.6,52.5,1.39,12.94,477.54,175.62,12.33,15.9,0.28,2030,137.44,51.4,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x3.6,101.6,3.6,11.1,133,266,34.7,49.1,8.57,26.2,5.57,266,0.48,265.52,52.5,34.6,1.32,7.06,260.69,95.73,8.13,8.7,0.32,1110,287.39,75.43,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x4,101.6,4,12.3,146,292,34.5,48.8,9.43,28.8,6.17,293,0.65,292.35,57.6,38.1,1.32,7.81,288.4,105.94,8.96,9.7,0.32,1230,259.35,74.82,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x4.5,101.6,4.5,13.7,162,324,34.4,48.6,10.49,31.9,6.94,324,0.93,323.07,63.8,42.5,1.33,8.74,322.71,118.57,9.97,10.8,0.32,1370,232.85,74.05,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x5,101.6,5,15.2,177,354,34.2,48.4,11.52,34.9,7.66,355,1.14,353.86,69.9,46.7,1.34,9.66,356.66,131.06,10.97,11.9,0.32,1520,209.87,73.29,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x5.6,101.6,5.6,16.9,195,390,34,48.1,12.72,38.4,8.57,390,1.25,388.75,76.9,51.7,1.35,10.75,396.9,145.88,12.13,13.3,0.32,1690,188.76,72.38,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x6.3,101.6,6.3,18.9,215,430,33.8,47.8,14.07,42.3,9.62,430,1.37,428.63,84.7,57.3,1.36,12.01,443.18,162.92,13.45,14.8,0.32,1890,168.78,71.33,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x7.1,101.6,7.1,21.1,237,474,33.5,47.4,15.56,46.6,10.83,473,1.51,471.49,93.2,63.5,1.36,13.42,495.19,182.07,14.91,16.6,0.32,2110,151.19,70.14,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 101.6x8,101.6,8,23.5,260,520,33.2,47,17.16,51.1,12.16,519,1.65,517.35,102,70.3,1.38,14.98,552.57,203.19,16.49,18.4,0.32,2350,135.75,68.81,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x3.6,114.3,3.6,12.5,192,384,39.2,55.4,10.95,33.6,6.31,384,0.54,383.46,67.2,44.1,1.31,7.97,294.56,108.14,10.38,9.8,0.36,1250,287.2,96.25,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x4,114.3,4,13.9,211,422,39,55.2,12.06,36.9,6.99,422,0.74,421.26,73.9,48.7,1.32,8.82,326.02,119.72,11.44,10.9,0.36,1390,258.27,95.55,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x4.5,114.3,4.5,15.5,234,468,38.9,55,13.43,41,7.82,469,1.05,467.95,82,54.3,1.32,9.88,365.01,134.08,12.76,12.2,0.36,1550,231.61,94.69,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x5,114.3,5,17.2,257,514,38.7,54.7,14.77,45,8.7,514,1.43,512.57,89.9,59.8,1.33,10.93,403.63,148.3,14.04,13.5,0.36,1720,208.72,93.83,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x5.6,114.3,5.6,19.1,283,566,38.5,54.4,16.33,49.6,9.69,566,1.81,564.19,99.1,66.2,1.34,12.17,449.49,165.18,15.56,15,0.36,1910,187.96,92.8,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x6.3,114.3,6.3,21.4,313,626,38.2,54,18.11,54.7,10.9,625,2,623,109,73.6,1.35,13.61,502.33,184.63,17.28,16.8,0.36,2140,167.76,91.61,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x7.1,114.3,7.1,23.9,345,690,38,53.7,20.06,60.4,12.21,690,2.2,687.8,121,81.7,1.35,15.22,561.83,206.53,19.19,18.8,0.36,2390,150.21,90.26,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 114.3x8,114.3,8,26.7,379,758,37.7,53.3,22.18,66.4,13.65,759,2.42,756.58,133,90.6,1.36,17.01,627.63,230.76,21.26,21,0.36,2670,134.46,88.75,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 139.7x3.6,139.7,3.6,15.4,357,714,48.1,68,16.59,51.1,7.75,713,0.66,712.34,102,66.7,1.31,9.8,362.36,132.95,15.69,12.1,0.44,1540,285.07,145.48,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 139.7x4,139.7,4,17.1,393,786,48,67.9,18.3,56.2,8.59,786,0.91,785.09,112,73.7,1.31,10.86,401.31,147.29,17.33,13.4,0.44,1710,256.73,144.63,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 139.7x4.5,139.7,4.5,19.1,437,874,47.8,67.6,20.41,62.6,9.62,874,1.29,872.71,125,82.3,1.32,12.17,449.66,165.09,19.34,15,0.44,1910,229.84,143.56,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 139.7x5,139.7,5,21.2,481,962,47.7,67.5,22.49,68.8,10.7,961,1.76,959.24,138,90.8,1.32,13.47,497.64,182.76,21.33,16.6,0.44,2120,207.08,142.5,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
